id,site,category,mass,volume,first,first_deadline,desired,priority,hard_deadline
S005-HYG-01,S005,生活卫生用品,6,0.035,False,inf,18000,4,inf
S006-MED-01,S006,医疗物资,3,0.012,True,3600.0,3600,24,3600.0
S006-WAT-01,S006,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S006-WAT-02,S006,饮用水,14,0.027,False,inf,3600,12,inf
S006-WAT-03,S006,饮用水,14,0.027,False,inf,3600,12,inf
S006-FOD-01,S006,应急食品,8,0.028,False,inf,7200,10,inf
S006-HYG-01,S006,生活卫生用品,6,0.035,False,inf,10800,8,inf
S007-MED-01,S007,医疗物资,3,0.012,True,3600.0,3600,24,3600.0
S007-WAT-01,S007,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S007-WAT-02,S007,饮用水,14,0.027,False,inf,3600,12,inf
S007-FOD-01,S007,应急食品,8,0.028,False,inf,7200,10,inf
S007-HYG-01,S007,生活卫生用品,6,0.035,False,inf,10800,8,inf
S008-MED-01,S008,医疗物资,3,0.012,True,7200.0,7200,20,7200.0
S008-WAT-01,S008,饮用水,14,0.027,True,7200.0,7200,10,7200.0
S008-WAT-02,S008,饮用水,14,0.027,False,inf,7200,10,inf
S008-FOD-01,S008,应急食品,8,0.028,False,inf,10800,8,inf
S008-HYG-01,S008,生活卫生用品,6,0.035,False,inf,14400,6,inf
S009-MED-01,S009,医疗物资,3,0.012,True,10800.0,10800,16,10800.0
S009-WAT-01,S009,饮用水,14,0.027,True,10800.0,10800,8,10800.0
S009-FOD-01,S009,应急食品,8,0.028,False,inf,14400,6,inf
S010-MED-01,S010,医疗物资,3,0.012,True,3600.0,3600,24,3600.0
S010-WAT-01,S010,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S010-FOD-01,S010,应急食品,8,0.028,False,inf,7200,10,inf
S011-MED-01,S011,医疗物资,3,0.012,True,10800.0,10800,16,10800.0
S011-WAT-01,S011,饮用水,14,0.027,True,10800.0,10800,8,10800.0
S011-FOD-01,S011,应急食品,8,0.028,False,inf,14400,6,inf
S012-MED-01,S012,医疗物资,3,0.012,True,3600.0,7200,22,3600.0
S012-WAT-01,S012,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S012-FOD-01,S012,应急食品,8,0.028,False,inf,7200,10,inf
S013-MED-01,S013,医疗物资,3,0.012,True,3600.0,3600,24,3600.0
S013-WAT-01,S013,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S013-FOD-01,S013,应急食品,8,0.028,False,inf,7200,10,inf
S014-MED-01,S014,医疗物资,3,0.012,True,3600.0,7200,22,3600.0
S014-WAT-01,S014,饮用水,14,0.027,True,3600.0,3600,12,3600.0
S014-FOD-01,S014,应急食品,8,0.028,False,inf,7200,10,inf
S015-MED-01,S015,医疗物资,3,0.012,True,7200.0,7200,18,7200.0
S015-WAT-01,S015,饮用水,14,0.027,True,10800.0,10800,8,10800.0
S015-FOD-01,S015,应急食品,8,0.028,False,inf,14400,6,inf
