sortie,drone,model,battery,start_s,end_s,areas,boxes,energy_kwh,return_soc_pct
Q2-016,U04,A,A02,2719.5999700603525,3970.49947319682,S001,S001-FOD-01;S001-WAT-08,1.2823460510666722,71.50342108740728
Q2-017,U06,B,B01,2975.5479052285,4124.648113369185,S001,S001-WAT-04;S001-WAT-05,1.2204176183532343,69.48955954116914
Q2-018,U05,B,B02,3130.7438452467923,4279.844053387476,S001,S001-WAT-06;S001-WAT-07,1.2204176183532343,69.48955954116914
Q2-019,U01,A,A03,3783.246290764623,5510.670381629116,S007,S007-FOD-01;S007-WAT-02,1.9709224098562683,56.201724225416264
Q2-020,U03,A,A04,3917.49203612422,5921.230031150877,S002,S002-FOD-01;S002-WAT-04,3.0186909657332817,32.9179785392604
Q2-021,U08,C,C01,3969.3093982161345,5266.863266977557,S006,S006-FOD-01;S006-HYG-01,2.0902466072085755,73.8719174098928
Q2-022,U07,C,C02,4108.971942049305,5339.141020225797,S001,S001-WAT-02;S001-WAT-03,2.0747077624130004,74.06615296983749
Q2-023,U05,B,B03,4539.5540387426445,5688.654246883329,S001,S001-FOD-02;S001-FOD-03,1.0264536831385938,74.33865792153516
Q2-024,U04,A,A02,4840.954999060526,6393.0687445173535,S013,S013-FOD-01,1.8712384502689927,58.41692332735572
Q2-025,U06,B,B04,4913.903549162701,6121.174804805634,S006,S006-WAT-02;S006-WAT-03,1.2935543929813478,67.6611401754663
Q2-026,U02,A,A05,5207.663969531938,6802.526701768447,S010,S010-FOD-01,1.8679377395009866,58.490272455533635
Q2-027,U08,C,C03,5266.863266977557,7170.152149957174,S014,S014-FOD-01,3.564643415226004,55.44195730967495
Q2-028,U07,C,C04,5352.834996679945,6966.025520998559,S005,S005-WAT-02;S005-WAT-03,3.561887259325525,55.476409258430934
Q2-029,U01,A,A06,5510.670381629116,7681.802926936911,S008,S008-FOD-01;S008-WAT-02,3.308433961972008,26.479245289510935
Q2-030,U05,B,B01,5688.654246883329,7445.348557455435,S002,S002-FOD-02;S002-HYG-01,2.361262397020882,40.968440074477954
Q2-031,U03,A,A01,5921.230031150877,7588.654122015369,S007,S007-HYG-01,1.8059020563188781,59.868843192913815
Q2-032,U06,B,B02,6121.174804805634,7270.275012946318,S001,S001-HYG-01;S001-HYG-02,0.9898886690841516,75.25278327289621
Q2-033,U04,A,A03,6580.047966698704,8842.677270586415,S003,S003-FOD-01;S003-WAT-04,3.0835928281735354,31.475714929476993
Q2-034,U07,C,C01,6966.025520998559,8112.266578928809,S011,S011-FOD-01,1.8144715798956605,77.31910525130424
Q2-035,U08,C,C02,7170.152149957174,8783.342674275787,S005,S005-FOD-01;S005-HYG-01,3.4141449653171136,57.323187933536076
Q2-036,U06,B,B03,7270.275012946318,8708.716751628617,S009,S009-FOD-01,1.7424460288665284,56.43884927833679
Q2-037,U02,A,A04,7293.296310140491,9201.885728486383,S015,S015-FOD-01,2.360889621551122,47.53578618775285
Q2-038,U05,B,B04,7445.348557455435,9366.992194561542,S004,S004-FOD-01;S004-HYG-01,2.501298045211374,37.46754886971565
Q2-039,U03,A,A02,7588.654122015369,9637.744225605362,S012,S012-FOD-01,2.8302280813367986,37.106042636960034
Q2-040,U01,A,A05,7842.15315984651,9953.285705154305,S008,S008-HYG-01,3.041028826741763,32.421581627960826
Q2-041,U06,B,B02,8708.716751628617,10729.240075272639,S003,S003-FOD-02;S003-HYG-01,2.424118828605573,39.39702928486067
Q2-042,U07,C,C04,8764.036653732555,10801.093346258585,S004,S004-WAT-02;S004-WAT-03,5.190578558745182,35.11776801568522
Q2-043,U08,C,C03,8968.909741580883,10812.722136869786,S002,S002-WAT-02;S002-WAT-03,4.937790747645707,38.277615654428665
Q2-044,U05,B,B01,9366.992194561542,11387.515518205564,S003,S003-WAT-02;S003-WAT-03,2.936427339487,26.589316512825
