site,model,reserve,safe_payload_kg
S009,A,0.25,25.0
S009,B,0.25,30.0
S009,C,0.25,80.0
S010,A,0.25,25.0
S010,B,0.25,30.0
S010,C,0.25,80.0
S011,A,0.25,25.0
S011,B,0.25,30.0
S011,C,0.25,80.0
S012,A,0.25,25.0
S012,B,0.25,29.432468387616854
S012,C,0.25,61.08549136484076
S013,A,0.25,25.0
S013,B,0.25,30.0
S013,C,0.25,80.0
S014,A,0.25,25.0
S014,B,0.25,30.0
S014,C,0.25,80.0
S015,A,0.25,25.0
S015,B,0.25,30.0
S015,C,0.25,78.45461159777483
S001,A,0.3,25.0
S001,B,0.3,30.0
S001,C,0.3,80.0
S002,A,0.3,25.0
S002,B,0.3,26.745928035897137
S002,C,0.3,52.95160843213158
S003,A,0.3,24.737296671704808
S003,B,0.3,25.426551505077512
S003,C,0.3,51.795761813515746
S004,A,0.3,20.16904230768018
S004,B,0.3,23.44181088107062
S004,C,0.3,44.7471254688979
S005,A,0.3,25.0
S005,B,0.3,30.0
S005,C,0.3,80.0
S006,A,0.3,25.0
S006,B,0.3,30.0
S006,C,0.3,80.0
S007,A,0.3,25.0
S007,B,0.3,30.0
S007,C,0.3,80.0
S008,A,0.3,14.21314617322756
S008,B,0.3,21.000826890114592
S008,C,0.3,36.81374103762393
S009,A,0.3,25.0
S009,B,0.3,30.0
S009,C,0.3,79.15353430894554
S010,A,0.3,25.0
S010,B,0.3,30.0
S010,C,0.3,80.0
S011,A,0.3,25.0
S011,B,0.3,30.0
S011,C,0.3,80.0
S012,A,0.3,25.0
S012,B,0.3,25.98408379381929
S012,C,0.3,51.75593625920155
S013,A,0.3,25.0
S013,B,0.3,30.0
S013,C,0.3,80.0
S014,A,0.3,25.0
S014,B,0.3,30.0
S014,C,0.3,79.90369786932128
S015,A,0.3,25.0
S015,B,0.3,30.0
S015,C,0.3,73.0076774302928
S001,A,0.35,25.0
S001,B,0.35,30.0
S001,C,0.35,80.0
S002,A,0.35,17.287024760803796
S002,B,0.35,22.291312975721656
S002,C,0.35,40.15340848583261
S003,A,0.35,13.578945474523788
S003,B,0.35,20.439706273060338
S003,C,0.35,38.635449122882655
S004,A,0.35,5.06836787247064
S004,B,0.35,17.826130743016122
S004,C,0.35,28.49267885819366
S005,A,0.35,25.0
S005,B,0.35,30.0
S005,C,0.35,78.7715230521468
S006,A,0.35,25.0
S006,B,0.35,30.0
S006,C,0.35,80.0
S007,A,0.35,25.0
S007,B,0.35,30.0
S007,C,0.35,80.0
S008,A,0.35,
S008,B,0.35,14.444891035415715
S008,C,0.35,15.682762263215174
S009,A,0.35,25.0
S009,B,0.35,30.0
S009,C,0.35,73.49184404236213
S010,A,0.35,25.0
S010,B,0.35,30.0
S010,C,0.35,80.0
S011,A,0.35,25.0
S011,B,0.35,30.0
S011,C,0.35,80.0
S012,A,0.35,15.052832975025128
S012,B,0.35,21.251248498276748
S012,C,0.35,38.54569178518522
S013,A,0.35,25.0
S013,B,0.35,30.0
S013,C,0.35,80.0
S014,A,0.35,25.0
S014,B,0.35,30.0
S014,C,0.35,74.2417137423727
S015,A,0.35,25.0
S015,B,0.35,30.0
S015,C,0.35,65.9395254069201
S001,A,0.4,25.0
S001,B,0.4,30.0
S001,C,0.4,80.0
S002,A,0.4,
S002,B,0.4,15.70246895315299
S002,C,0.4,19.220367161642415
S003,A,0.4,
S003,B,0.4,12.863966938652181
S003,C,0.4,17.305108649739473
S004,A,0.4,
S004,B,0.4,8.666543726624852
S004,C,0.4,
S005,A,0.4,25.0
S005,B,0.4,30.0
S005,C,0.4,72.48029868482074
S006,A,0.4,25.0
S006,B,0.4,30.0
S006,C,0.4,80.0
S007,A,0.4,25.0
S007,B,0.4,30.0
S007,C,0.4,80.0
S008,A,0.4,
S008,B,0.4,1.3967101862972664
S008,C,0.4,
S009,A,0.4,25.0
S009,B,0.4,30.0
S009,C,0.4,65.99692233133983
S010,A,0.4,25.0
S010,B,0.4,30.0
S010,C,0.4,79.15462117870995
S011,A,0.4,25.0
S011,B,0.4,30.0
S011,C,0.4,80.0
S012,A,0.4,
S012,B,0.4,14.142430642495519
S012,C,0.4,16.697868457785482
S013,A,0.4,25.0
S013,B,0.4,30.0
S013,C,0.4,78.68350120741918
S014,A,0.4,25.0
S014,B,0.4,30.0
S014,C,0.4,66.75713526510602
S015,A,0.4,25.0
S015,B,0.4,27.19896232363269
S015,C,0.4,56.365581204588544
