box,area,kind,sortie,delivery_s,hard_due_s,desired_s,priority,lateness_s
S010-FOD-01,S010,FOD,Q2-026,8727.789512502964,,7200.0,10.0,1527.7895125029645
S014-FOD-01,S014,FOD,Q2-027,9616.30092120785,,7200.0,10.0,2416.3009212078505
S005-WAT-02,S005,WAT,Q2-028,10262.051741877349,,10800.0,8.0,0.0
S005-WAT-03,S005,WAT,Q2-028,10262.051741877349,,10800.0,8.0,0.0
S008-WAT-02,S008,WAT,Q2-029,11838.614419038608,,7200.0,10.0,4638.614419038608
S008-FOD-01,S008,FOD,Q2-029,11838.614419038608,,10800.0,8.0,1038.6144190386076
S002-FOD-02,S002,FOD,Q2-030,12023.108635004097,,7200.0,10.0,4823.108635004097
S002-HYG-01,S002,HYG,Q2-030,12023.108635004097,,10800.0,8.0,1223.1086350040969
S007-HYG-01,S007,HYG,Q2-031,11944.173525150289,,10800.0,8.0,1144.1735251502887
S001-HYG-01,S001,HYG,Q2-032,11720.49491712172,,10800.0,8.0,920.4949171217195
S001-HYG-02,S001,HYG,Q2-032,11720.49491712172,,10800.0,8.0,920.4949171217195
S003-WAT-04,S003,WAT,Q2-033,12272.109464995232,,7200.0,10.0,5072.109464995232
S003-FOD-01,S003,FOD,Q2-033,12272.109464995232,,10800.0,8.0,1472.109464995232
S011-FOD-01,S011,FOD,Q2-034,11704.72200868317,,14400.0,6.0,0.0
S005-FOD-01,S005,FOD,Q2-035,11972.051741877349,,14400.0,6.0,0.0
S005-HYG-01,S005,HYG,Q2-035,11972.051741877349,,18000.0,4.0,0.0
S009-FOD-01,S009,FOD,Q2-036,12982.732557199875,,14400.0,6.0,0.0
S015-FOD-01,S015,FOD,Q2-037,13209.656397031673,,14400.0,6.0,0.0
S004-FOD-01,S004,FOD,Q2-038,14851.984275509869,,10800.0,8.0,4051.984275509869
S004-HYG-01,S004,HYG,Q2-038,14851.984275509869,,14400.0,6.0,451.9842755098689
S012-FOD-01,S012,FOD,Q2-039,15453.990842085144,,7200.0,10.0,8253.990842085144
S008-HYG-01,S008,HYG,Q2-040,17135.30872961071,,14400.0,6.0,2735.3087296107115
S003-FOD-02,S003,FOD,Q2-041,17147.750785445493,,10800.0,8.0,6347.7507854454925
S003-HYG-01,S003,HYG,Q2-041,17147.750785445493,,14400.0,6.0,2747.7507854454925
S004-WAT-02,S004,WAT,Q2-042,17779.014136553164,,7200.0,10.0,10579.014136553164
S004-WAT-03,S004,WAT,Q2-042,17779.014136553164,,7200.0,10.0,10579.014136553164
S002-WAT-02,S002,WAT,Q2-043,17712.8319879346,,3600.0,12.0,14112.831987934602
S002-WAT-03,S002,WAT,Q2-043,17712.8319879346,,3600.0,12.0,14112.831987934602
S003-WAT-02,S003,WAT,Q2-044,17777.750785445493,,7200.0,10.0,10577.750785445493
S003-WAT-03,S003,WAT,Q2-044,17777.750785445493,,7200.0,10.0,10577.750785445493
